"No","Country","Coach","Group"
"1","Egypt","Hector Cuper","A"
"2","Russia","Stanislav Cherchesov","A"
"3","Saudi Arabia","Juan Antonio Pizzi","A"
"4","Uruguay","Oscar Tabarez","A"
"5","Iran","Carlos Queiroz","B"
"6","Morocco","Herve Renard","B"
"7","Portugal","Fernando Santos","B"
"8","Spain","Fernando Hierro","B"
"9","Australia","Bert van Marwijk","C"
"10","Denmark","Age Hareide","C"
"11","France","Didier Deschamps","C"
"12","Peru","Ricardo Gareca","C"
"13","Argentina","Jorge Sampaoli","D"
"14","Croatia","Zlatco Dalic","D"
"15","Iceland","Heimir Halgrimsson","D"
"16","Nigeria","Gernot Rohr","D"
"17","Brazil","Tite","E"
"18","Costa Rica","Oscar Ramirez","E"
"19","Serbia","Mladen Krstajic","E"
"20","Switzerland","Vladimir Petkovic","E"
"21","Germany","Joachim Low","F"
"22","Mexico","Juan Carlos Osorio","F"
"23","South Korea","Shin Tae-yong","F"
"24","Sweden","Janne Anderson","F"
"25","Belgium","Roberto Martinez","G"
"26","England","Gareth Southgate","G"
"27","Panama","Hernan dario Gomez","G"
"28","Tunisia","Nabil Maaloul","G"
"29","Columbia","Jose Pekerman","H"
"30","Japan","Akira Nishino","H"
"31","Poland","Adam Nawalka","H"
"32","Senegal","Aliou Cisse","H"
