France,Corsican Separatists
France,Corsican Separatists
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
United States,Unknown
United States,Unknown
France,Corsican Separatists
France,Corsican Separatists
France,Corsican Separatists
France,Corsican Separatists
Egypt,Unknown
United Kingdom,Direct Action Against Drugs (DADD)
Netherlands,Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)
Pakistan,Unknown
Pakistan,Unknown
France,Unknown
Iraq,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Rwanda,Unknown
Burundi,Unknown
Egypt,Unknown
India,Jammu and Kashmir Islamic Front
Russia,Unknown
Russia,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Cambodia,Khmer Rouge
Colombia,Revolutionary Armed Forces of Colombia (FARC)
France,Corsican National Liberation Front (FLNC)
Netherlands,Dev Sol
Netherlands,Dev Sol
Netherlands,Dev Sol
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
United States,Unknown
France,Corsican National Liberation Front (FLNC)
Germany,Turkish Leftists
Germany,Turkish Leftists
Germany,Turkish Leftists
Germany,Turkish Leftists
Germany,Turkish Leftists
Germany,Turkish Leftists
Germany,Turkish Leftists
Greece,Kurdistan Workers' Party (PKK)
Guatemala,Unknown
India,Unknown
Taiwan,Unknown
Colombia,Revolutionary Armed Forces of Colombia (FARC)
France,Corsican National Liberation Front (FLNC)
France,Unknown
Ivory Coast,Unknown
Pakistan,Unknown
South Africa,African National Congress (South Africa)
Egypt,Al-Gama'at al-Islamiyya (IG)
Guatemala,Unknown
Mexico,Unknown
Philippines,Moro National Liberation Front (MNLF)
Colombia,National Liberation Army of Colombia (ELN)
Colombia,National Liberation Army of Colombia (ELN)
France,Unknown
France,Rebels
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
France,Resistenza
Haiti,Unknown
Indonesia,Free Papua Movement (OPM-Organisasi Papua Merdeka)
France,Rebels
Pakistan,Unknown
Pakistan,Muttahida Qami Movement (MQM)
Pakistan,Muttahida Qami Movement (MQM)
Pakistan,Muttahida Qami Movement (MQM)
Pakistan,Muttahida Qami Movement (MQM)
Pakistan,Muttahida Qami Movement (MQM)
Pakistan,Muttahida Qami Movement (MQM)
Russia,Chechen Lone Wolf Group
Turkey,Devrimici Halk Kurtulus Cephesi (DHKP/C)
Algeria,Armed Islamic Group (GIA)
Cambodia,Khmer Rouge
Ghana,Unknown
Indonesia,National Council of Maubere Resistance
Pakistan,Unknown
Russia,Chechen Lone Wolf Group
France,Corsican National Liberation Front (FLNC)
Germany,Unknown
Iraq,Unknown
Iraq,Unknown
Pakistan,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Thailand,Democratic Karen Buddhist Army (DKBA)
Bulgaria,Unknown
France,Unknown
France,Resistenza
Germany,Turkish Leftists
Papua New Guinea,Bougainville Revolutionary Army (BRA)
Papua New Guinea,Bougainville Revolutionary Army (BRA)
Papua New Guinea,Bougainville Revolutionary Army (BRA)
Egypt,Unknown
United States,Unknown
Lebanon,Unknown
Moldova,Unknown
Algeria,Armed Islamic Group (GIA)
Angola,Unknown
Colombia,Unknown
Colombia,Unknown
Peru,Unknown
France,Corsican National Liberation Front (FLNC)
France,Unknown
Pakistan,Unknown
West Bank and Gaza Strip,Hamas (Islamic Resistance Movement)
Algeria,Unknown
Guatemala,Guatemalan National Revolutionary Unity (URNG)
Brazil,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
West Bank and Gaza Strip,Hamas (Islamic Resistance Movement)
Turkey,Kurdistan Workers' Party (PKK)
Colombia,Unknown
France,Iparretarrak (IK)
Guatemala,Guatemalan National Revolutionary Unity (URNG)
Guatemala,Guatemalan National Revolutionary Unity (URNG)
Turkey,Chechen Rebels
Mexico,Unknown
Nigeria,United Front for Nigeria's Liberation (UFNL)
Russia,Unknown
Spain,Basque Fatherland and Freedom (ETA)
Bahrain,Unknown
Bangladesh,Unknown
Bangladesh,Unknown
Bangladesh,Unknown
Colombia,National Liberation Army of Colombia (ELN)
Nigeria,Unknown
Pakistan,Unknown
Pakistan,Unknown
Albania,Unknown
Colombia,Unknown
Ethiopia,Al-Ittihaad al-Islami (AIAI)
Germany,Unknown
Pakistan,Unknown
West Bank and Gaza Strip,Unknown
Colombia,Unknown
Indonesia,East Timorese extremists
Myanmar,Karen National Union
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Philippines,Abu Sayyaf Group (ASG)
United States,Unknown
Algeria,Unknown
Algeria,Unknown
India,Unknown
Japan,Unknown
Moldova,Unknown
Tajikistan,Unknown
Bulgaria,Unknown
France,Separatists
India,Separatists
Pakistan,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Germany,Unknown
Russia,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
United States,Unknown
Bangladesh,Bangladesh Nationalist Party (BNP)
Bangladesh,Awami League
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Pakistan,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
India,Separatists
Nicaragua,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Yemen,Tribal Group
Pakistan,Unknown
Algeria,Unknown
Egypt,Unknown
India,Unknown
India,Separatists
India,Unknown
India,Unknown
Algeria,Unknown
Pakistan,Unknown
Spain,Basque Fatherland and Freedom (ETA)
Algeria,Unknown
Algeria,Unknown
Algeria,Unknown
Algeria,Unknown
Algeria,Unknown
Bangladesh,Bangladesh Nationalist Party (BNP)
Bangladesh,Bangladesh Nationalist Party (BNP)
Bangladesh,Opposition Group
Bulgaria,Unknown
West Bank and Gaza Strip,Hamas (Islamic Resistance Movement)
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
Bangladesh,Opposition Group
Colombia,Unknown
Lebanon,Unknown
Pakistan,Unknown
Pakistan,Unknown
Russia,Unknown
South Africa,Unknown
Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE)
